** ** ** ** ** ** ** ** ** ** ** ** == == == == == == == ** ** ** ** ** ** ** ** ** ** == == == == == ** ** ** ** ** == == == == ** == == ** ** == ==
** ** ** ** ^^ ^^ ^^ ^^ ^^ ** ** ** ** == == == == == == == == ** ** ** ** ** ** ** == == == ** ** == == ** ** ** ** ** == == == ** ** ** ** ** == ==
** ** ** ** ^^ /\ /\ ^^ ^^ ** ** ** ** ** == == == == == ** ** ** ** ** == == == == == ** == ** == == == ** ** ** ** ** == == == == ** ** == ** ** ==
** ** ** ** ^^ /\ /\ /\ /\ ^^ ** ** ** ** ** == == == == ** ** ** ** == == == == == ** == == == == ** == ** ** ** ** == == == == == == == == ** ** **
** ** ** ** ** ^^ /\ /\ /\ ^^ ** ** ** ** ** ** ** == ** ** ~~ ~~ ~~ == == == == == == == == == ** ** == == ** ** ** == == == == == == == == ** ** **
XX XX XX XX ** ** ^^ ^^ /\ /\ @^ ** ** ** ** ** ** ~~ ** ~~ *# ** XX == == == == == == == ** ** ** ^^ == == ** ** ** == == == == == == ** ** ** ** **
"" /\ XX XX XX XX "" == ^^ /\ ^^ ^^ ^^ ^^ XX XX XX ~~ ** ~~ XX XX -- -- == == == == == == == ** ^^ ** == == ** == == == == == == == == ** ** ** ** **
"" /\ /\ XX "" "" -- == ~~ ~~ /\ /\ /\ /\ /\ /\ -- -- ~~ -- -- -- -- -- -- -- == == == == == -- ** == == == == == ** ^^ == == == == == == == ** ** ==
"" ^^ /\ ^^ ^^ "" "" -- ^^ /\ ~~ == == /\ /\ -- -- -- -- -- -- -- ~~ ~~ ~~ -- -- -- -- ^^ == -- -- == == == == == == ** == == == == == == == == == ==
"" "" "" /\ /\ /\ "" "" ^^ /\ /\ == == ~~ ^^ -- -- -- -- -- ~~ ~~ -- -- -- ~~ "" "" "" -- == -- == == -- == == == == == == == == == == == == == == ==
"" "" "" /@ /\ /\ "" "" ^^ @@ ^^ ^^ "" /\ ~~ ~~ ~~ ~~ -- ~~ -- -- -- -- -- ~~ "" "Y "" "" == == == == "" == == == == == == == == == == == == == == ==
"" "" "" ^^ /\ ^^ ^^ ^^ ^^ /\ /# "" "" /\ /\ /\ "" OO ~~ OO OO OO OO OO OO -- ~~ ~~ ~~ == == == == == == == == == ^^ == == == == == == == == == == ==
"" "" "" "" /\ /\ /\ /\ ^^ /\ == "" "" /\ /\ /\ ^^ ^^ ## OO OO OO OO OO OO OO OO OO OO == == == /\ /\ == == == == == == == == == == == == == == == ==
"" "" "" "" "" ^^ /\ /\ /\ == == "" "" /\ /\ ~~ ~~ ~~ ~~ OO OO OO OO OO OO OO OO == == == == == ^^ ^^ == == == == == == == /\ == == == == == == == ==
"" "" "" "" "" "" ^^ ^^ /\ == == == ^^ /\ ~~ /\ ^^ ^^ OO ~~ OO OO OO OO OO OO OO == == OO ^^ == OO == == == == == == == == == == == == == == == == ==
"" "" "" "" "" "" "" "" /\ /\ == OO /\ /\ ~~ /\ ^^ OO OO OO ~~ OO OO OO OO OO OO OO == OO OO == ^^ == == == == == == :: ^^ == == == == == == == == ==
"" "" "" "" "" OO OO +O OO ^^ ~~ ~~ ~~ ~~ /\ @\ OO ^^ OO OO OO ~~ ~~ ~~ OO OO OO OO == == OO == == == == == == == == == :: == == == == == == == == ==
"" "" OO OO OO OO OO /\ +^ +^ ^^ @\ /\ /\ /\ OO OO OO OO OO OO OO +O OO ~~ ~~ ~~ ~| == == OO == == OO == == == == == == :: ^^ == == == == == == == ==
"" "" OO OO OO O@ ^^ /\ /\ ^^ +^ +O +O +O +O OO OO OO OO OO OO OO +O OO OO OO OO OO [] == == == OO OO == == == == == == == :: == == == == == == == ==
OO OO OO ^^ /\ /\ /\ /\ /\ /\ /\ /\ /\ OO OO +O OO OO OO OO OO +O OO OO OO Y# OO +O ~~ OO == == == == == == == == :: OO :: :: == == == == == == == ==
OO OO OO /\ /\ /\ /\ /\ /\ /\ /\ /\ /\ /\ OO OO +O +O +O +O +O == +O +O +O +O +O ~~ OO OY == == == == == == == OO OO :: == == == == == == == == == ==
OO OO OO OY /\ /\ /\ /\ /\ ^^ #O OO OO OO OO OO +O OO == == == == == ~~ ~~ ~| ~~ OO OO OO :: :: :: == OO OO :: :: :: == == == == == == == == == == ==
OO OO OO OO ^^ /\ @\ ^^ OO OO OO OO OO OO OO OO +O OO == == == == == OO OO OO OO OO OO OO :: :: :: :: :: :: == == == == == == OO :: == == == == == ==
OO OO O# OO /\ /\ /\ ^^ OO OO OO OO OO OO OO OO +O == == == == == "" OO OO OO ## OO OO OO OO :: :Y == == == == == == oo oo == == :: == == == == == ==
OO OO OO OO ^^ /\ /\ ^^ OO OO OO OO OO OO OO OO +O OO OO OO OO OO OO OO OO OO OO OO OO OO OO ^^ == == == == == == == == == == == == == == == == == ==
oo oo oo oo +^ +^ +^ +^ +O OO oo oo oo oo #O OO OO +O OO OO OO OO OO OO OO OO OO OO OO OO OO oo == =# == == == == == == == == == == == == == == == ==
+O +O +O +^ +^ /\ /\ Y# +o oo oo == == oo oo oo OO +O OO OO ## OO OO OO OY OO OO OO OO OO OO oo :: :: == == == == == == == == == == == == == == == ==
oo OO ^^ /\ @\ /\ @\ oo +o oo == == == == oo OO OO +O OO OO "" oo OO OO OO OO OO OO OO oo == == == == == == == == == == == == == == == == == == == ==
oo [] /\ /\ ^^ @\ ^^ /\ +# == == == == == == ~~ ~~ +O OO OO "" "" oo OO OO OO OO "" oo == == == == == == == == == == == == == == == == == == == == ==
oo ^^ /\ /\ ^^ ^^ oo oo +o oo oo == == == oo OO ~~ +O OO "" "" "" oo oo OO OO "" oo :: == == == == == == == == == == == == == == == == == == == == ==
^^ /\ /\ /\ /\ /\ /\ oo +o +O o@ oo == oo OO OO ~~ +O oo oo OO O# oo oo OO OO "" :: == == == == == == == == == == == == == == == == == == == == == ==
/\ /\ /\ /\ ## oo oo oo OO OO +O OO OO OO oo OO +| ~~ ~~ ~~ ~~ ~~ ~~ OO OO oo :: == == == == == == == == == == == == == == == == == == == == == == ==
/\ /\ @^ oo oo OO OO OO OO OO +O +O +O +O +o +o +^ oo oo 88 88 OO ~~ ~~ ~~ oo == == == == == == == == == == == == == == == == == == == == == == == ==
/\ Y# ^^ ^^ ^^ oo oo OO OO OO OO OO OO OO oo ^^ +^ +^ oo oo oo o# "" :: ~~ == == == == == == == == == == == == == == == == == == == == == == == == ==
